AgentID,AgentStrategy,EventType,Event
1,NoiseAgent,STARTING_CASH,10000000.0
2,NoiseAgent,STARTING_CASH,10000000.0
3,NoiseAgent,STARTING_CASH,10000000.0
4,NoiseAgent,STARTING_CASH,10000000.0
5,NoiseAgent,STARTING_CASH,10000000.0
6,NoiseAgent,STARTING_CASH,10000000.0
7,NoiseAgent,STARTING_CASH,10000000.0
8,NoiseAgent,STARTING_CASH,10000000.0
9,NoiseAgent,STARTING_CASH,10000000.0
10,NoiseAgent,STARTING_CASH,10000000.0
11,NoiseAgent,STARTING_CASH,10000000.0
12,NoiseAgent,STARTING_CASH,10000000.0
13,NoiseAgent,STARTING_CASH,10000000.0
14,NoiseAgent,STARTING_CASH,10000000.0
15,NoiseAgent,STARTING_CASH,10000000.0
16,NoiseAgent,STARTING_CASH,10000000.0
17,NoiseAgent,STARTING_CASH,10000000.0
18,NoiseAgent,STARTING_CASH,10000000.0
19,NoiseAgent,STARTING_CASH,10000000.0
20,NoiseAgent,STARTING_CASH,10000000.0
21,NoiseAgent,STARTING_CASH,10000000.0
22,NoiseAgent,STARTING_CASH,10000000.0
23,NoiseAgent,STARTING_CASH,10000000.0
24,NoiseAgent,STARTING_CASH,10000000.0
25,NoiseAgent,STARTING_CASH,10000000.0
26,NoiseAgent,STARTING_CASH,10000000.0
27,NoiseAgent,STARTING_CASH,10000000.0
28,NoiseAgent,STARTING_CASH,10000000.0
29,NoiseAgent,STARTING_CASH,10000000.0
30,NoiseAgent,STARTING_CASH,10000000.0
31,NoiseAgent,STARTING_CASH,10000000.0
32,NoiseAgent,STARTING_CASH,10000000.0
33,NoiseAgent,STARTING_CASH,10000000.0
34,NoiseAgent,STARTING_CASH,10000000.0
35,NoiseAgent,STARTING_CASH,10000000.0
36,NoiseAgent,STARTING_CASH,10000000.0
37,NoiseAgent,STARTING_CASH,10000000.0
38,NoiseAgent,STARTING_CASH,10000000.0
39,NoiseAgent,STARTING_CASH,10000000.0
40,NoiseAgent,STARTING_CASH,10000000.0
41,NoiseAgent,STARTING_CASH,10000000.0
42,NoiseAgent,STARTING_CASH,10000000.0
43,NoiseAgent,STARTING_CASH,10000000.0
44,NoiseAgent,STARTING_CASH,10000000.0
45,NoiseAgent,STARTING_CASH,10000000.0
46,NoiseAgent,STARTING_CASH,10000000.0
47,NoiseAgent,STARTING_CASH,10000000.0
48,NoiseAgent,STARTING_CASH,10000000.0
49,NoiseAgent,STARTING_CASH,10000000.0
50,NoiseAgent,STARTING_CASH,10000000.0
51,NoiseAgent,STARTING_CASH,10000000.0
52,NoiseAgent,STARTING_CASH,10000000.0
53,NoiseAgent,STARTING_CASH,10000000.0
54,NoiseAgent,STARTING_CASH,10000000.0
55,NoiseAgent,STARTING_CASH,10000000.0
56,NoiseAgent,STARTING_CASH,10000000.0
57,NoiseAgent,STARTING_CASH,10000000.0
58,NoiseAgent,STARTING_CASH,10000000.0
59,NoiseAgent,STARTING_CASH,10000000.0
60,NoiseAgent,STARTING_CASH,10000000.0
61,NoiseAgent,STARTING_CASH,10000000.0
62,NoiseAgent,STARTING_CASH,10000000.0
63,NoiseAgent,STARTING_CASH,10000000.0
64,NoiseAgent,STARTING_CASH,10000000.0
65,NoiseAgent,STARTING_CASH,10000000.0
66,NoiseAgent,STARTING_CASH,10000000.0
67,NoiseAgent,STARTING_CASH,10000000.0
68,NoiseAgent,STARTING_CASH,10000000.0
69,NoiseAgent,STARTING_CASH,10000000.0
70,NoiseAgent,STARTING_CASH,10000000.0
71,NoiseAgent,STARTING_CASH,10000000.0
72,NoiseAgent,STARTING_CASH,10000000.0
73,NoiseAgent,STARTING_CASH,10000000.0
74,NoiseAgent,STARTING_CASH,10000000.0
75,NoiseAgent,STARTING_CASH,10000000.0
76,NoiseAgent,STARTING_CASH,10000000.0
77,NoiseAgent,STARTING_CASH,10000000.0
78,NoiseAgent,STARTING_CASH,10000000.0
79,NoiseAgent,STARTING_CASH,10000000.0
80,NoiseAgent,STARTING_CASH,10000000.0
81,NoiseAgent,STARTING_CASH,10000000.0
82,NoiseAgent,STARTING_CASH,10000000.0
83,NoiseAgent,STARTING_CASH,10000000.0
84,NoiseAgent,STARTING_CASH,10000000.0
85,NoiseAgent,STARTING_CASH,10000000.0
86,NoiseAgent,STARTING_CASH,10000000.0
87,NoiseAgent,STARTING_CASH,10000000.0
88,NoiseAgent,STARTING_CASH,10000000.0
89,NoiseAgent,STARTING_CASH,10000000.0
90,NoiseAgent,STARTING_CASH,10000000.0
91,NoiseAgent,STARTING_CASH,10000000.0
92,NoiseAgent,STARTING_CASH,10000000.0
93,NoiseAgent,STARTING_CASH,10000000.0
94,NoiseAgent,STARTING_CASH,10000000.0
95,NoiseAgent,STARTING_CASH,10000000.0
96,NoiseAgent,STARTING_CASH,10000000.0
97,NoiseAgent,STARTING_CASH,10000000.0
98,NoiseAgent,STARTING_CASH,10000000.0
99,NoiseAgent,STARTING_CASH,10000000.0
100,NoiseAgent,STARTING_CASH,10000000.0
101,NoiseAgent,STARTING_CASH,10000000.0
102,NoiseAgent,STARTING_CASH,10000000.0
103,NoiseAgent,STARTING_CASH,10000000.0
104,NoiseAgent,STARTING_CASH,10000000.0
105,NoiseAgent,STARTING_CASH,10000000.0
106,NoiseAgent,STARTING_CASH,10000000.0
107,NoiseAgent,STARTING_CASH,10000000.0
108,NoiseAgent,STARTING_CASH,10000000.0
109,NoiseAgent,STARTING_CASH,10000000.0
110,NoiseAgent,STARTING_CASH,10000000.0
111,NoiseAgent,STARTING_CASH,10000000.0
112,NoiseAgent,STARTING_CASH,10000000.0
113,NoiseAgent,STARTING_CASH,10000000.0
114,NoiseAgent,STARTING_CASH,10000000.0
115,NoiseAgent,STARTING_CASH,10000000.0
116,NoiseAgent,STARTING_CASH,10000000.0
117,NoiseAgent,STARTING_CASH,10000000.0
118,NoiseAgent,STARTING_CASH,10000000.0
119,NoiseAgent,STARTING_CASH,10000000.0
120,NoiseAgent,STARTING_CASH,10000000.0
121,NoiseAgent,STARTING_CASH,10000000.0
122,NoiseAgent,STARTING_CASH,10000000.0
123,NoiseAgent,STARTING_CASH,10000000.0
124,NoiseAgent,STARTING_CASH,10000000.0
125,NoiseAgent,STARTING_CASH,10000000.0
126,NoiseAgent,STARTING_CASH,10000000.0
127,NoiseAgent,STARTING_CASH,10000000.0
128,NoiseAgent,STARTING_CASH,10000000.0
129,NoiseAgent,STARTING_CASH,10000000.0
130,NoiseAgent,STARTING_CASH,10000000.0
131,NoiseAgent,STARTING_CASH,10000000.0
132,NoiseAgent,STARTING_CASH,10000000.0
133,NoiseAgent,STARTING_CASH,10000000.0
134,NoiseAgent,STARTING_CASH,10000000.0
135,NoiseAgent,STARTING_CASH,10000000.0
136,NoiseAgent,STARTING_CASH,10000000.0
137,NoiseAgent,STARTING_CASH,10000000.0
138,NoiseAgent,STARTING_CASH,10000000.0
139,NoiseAgent,STARTING_CASH,10000000.0
140,NoiseAgent,STARTING_CASH,10000000.0
141,NoiseAgent,STARTING_CASH,10000000.0
142,NoiseAgent,STARTING_CASH,10000000.0
143,NoiseAgent,STARTING_CASH,10000000.0
144,NoiseAgent,STARTING_CASH,10000000.0
145,NoiseAgent,STARTING_CASH,10000000.0
146,NoiseAgent,STARTING_CASH,10000000.0
147,NoiseAgent,STARTING_CASH,10000000.0
148,NoiseAgent,STARTING_CASH,10000000.0
149,NoiseAgent,STARTING_CASH,10000000.0
150,NoiseAgent,STARTING_CASH,10000000.0
151,NoiseAgent,STARTING_CASH,10000000.0
152,NoiseAgent,STARTING_CASH,10000000.0
153,NoiseAgent,STARTING_CASH,10000000.0
154,NoiseAgent,STARTING_CASH,10000000.0
155,NoiseAgent,STARTING_CASH,10000000.0
156,NoiseAgent,STARTING_CASH,10000000.0
157,NoiseAgent,STARTING_CASH,10000000.0
158,NoiseAgent,STARTING_CASH,10000000.0
159,NoiseAgent,STARTING_CASH,10000000.0
160,NoiseAgent,STARTING_CASH,10000000.0
161,NoiseAgent,STARTING_CASH,10000000.0
162,NoiseAgent,STARTING_CASH,10000000.0
163,NoiseAgent,STARTING_CASH,10000000.0
164,NoiseAgent,STARTING_CASH,10000000.0
165,NoiseAgent,STARTING_CASH,10000000.0
166,NoiseAgent,STARTING_CASH,10000000.0
167,NoiseAgent,STARTING_CASH,10000000.0
168,NoiseAgent,STARTING_CASH,10000000.0
169,NoiseAgent,STARTING_CASH,10000000.0
170,NoiseAgent,STARTING_CASH,10000000.0
171,NoiseAgent,STARTING_CASH,10000000.0
172,NoiseAgent,STARTING_CASH,10000000.0
173,NoiseAgent,STARTING_CASH,10000000.0
174,NoiseAgent,STARTING_CASH,10000000.0
175,NoiseAgent,STARTING_CASH,10000000.0
176,NoiseAgent,STARTING_CASH,10000000.0
177,NoiseAgent,STARTING_CASH,10000000.0
178,NoiseAgent,STARTING_CASH,10000000.0
179,NoiseAgent,STARTING_CASH,10000000.0
180,NoiseAgent,STARTING_CASH,10000000.0
181,NoiseAgent,STARTING_CASH,10000000.0
182,NoiseAgent,STARTING_CASH,10000000.0
183,NoiseAgent,STARTING_CASH,10000000.0
184,NoiseAgent,STARTING_CASH,10000000.0
185,NoiseAgent,STARTING_CASH,10000000.0
186,NoiseAgent,STARTING_CASH,10000000.0
187,NoiseAgent,STARTING_CASH,10000000.0
188,NoiseAgent,STARTING_CASH,10000000.0
189,NoiseAgent,STARTING_CASH,10000000.0
190,NoiseAgent,STARTING_CASH,10000000.0
191,NoiseAgent,STARTING_CASH,10000000.0
192,NoiseAgent,STARTING_CASH,10000000.0
193,NoiseAgent,STARTING_CASH,10000000.0
194,NoiseAgent,STARTING_CASH,10000000.0
195,NoiseAgent,STARTING_CASH,10000000.0
196,NoiseAgent,STARTING_CASH,10000000.0
197,NoiseAgent,STARTING_CASH,10000000.0
198,NoiseAgent,STARTING_CASH,10000000.0
199,NoiseAgent,STARTING_CASH,10000000.0
200,NoiseAgent,STARTING_CASH,10000000.0
201,NoiseAgent,STARTING_CASH,10000000.0
202,NoiseAgent,STARTING_CASH,10000000.0
203,NoiseAgent,STARTING_CASH,10000000.0
204,NoiseAgent,STARTING_CASH,10000000.0
205,NoiseAgent,STARTING_CASH,10000000.0
206,NoiseAgent,STARTING_CASH,10000000.0
207,NoiseAgent,STARTING_CASH,10000000.0
208,NoiseAgent,STARTING_CASH,10000000.0
209,NoiseAgent,STARTING_CASH,10000000.0
210,NoiseAgent,STARTING_CASH,10000000.0
211,NoiseAgent,STARTING_CASH,10000000.0
212,NoiseAgent,STARTING_CASH,10000000.0
213,NoiseAgent,STARTING_CASH,10000000.0
214,NoiseAgent,STARTING_CASH,10000000.0
215,NoiseAgent,STARTING_CASH,10000000.0
216,NoiseAgent,STARTING_CASH,10000000.0
217,NoiseAgent,STARTING_CASH,10000000.0
218,NoiseAgent,STARTING_CASH,10000000.0
219,NoiseAgent,STARTING_CASH,10000000.0
